catalog_id,common_name,scientific_name_as_source,plant_type_as_source,catalog_status,crop_contexts,regulatory_tier,usda_match_status,usda_symbol_candidate,habitat_flags_auto_for_review,vt_profile_url
VT-2,absinthe,Artemisia absinthium,broadleaf,source_index_only,,,unmatched_requires_review,,pasture_forage,https://weedid.cals.vt.edu/profile/2/
VT-281,Adam and Eve orchid,Aplectrum hyemale,broadleaf,source_index_only,,,matched,APHY,,https://weedid.cals.vt.edu/profile/281/
VT-111,air yam,Dioscorea bulbifera,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/111/
VT-523,Allegheny monkeyflower,Mimulus ringens,broadleaf,source_index_only,,,matched,MIRI,,https://weedid.cals.vt.edu/profile/523/
VT-463,alligatorweed,Alternanthera philoxeroides,broadleaf,source_index_only,,,matched,ALPH,aquatic_wetland,https://weedid.cals.vt.edu/profile/463/
VT-120,American barberry,Berberis canadensis,broadleaf,source_index_only,,,matched,BECA2,,https://weedid.cals.vt.edu/profile/120/
VT-41,American basswood,Tilia americana,broadleaf,source_index_only,,,matched,TIAM,,https://weedid.cals.vt.edu/profile/41/
VT-34,American beautyberry,Callicarpa americana,broadleaf,source_index_only,,,matched,CAAM2,,https://weedid.cals.vt.edu/profile/34/
VT-259,American beech,Fagus grandifolia,broadleaf,source_index_only,,,matched,FAGR,,https://weedid.cals.vt.edu/profile/259/
VT-377,American black elderberry,Sambucus nigra ssp. canadensis,broadleaf,source_index_only,,,matched,SANI4,,https://weedid.cals.vt.edu/profile/377/
VT-43,American bur-reed,Sparganium americanum,grass_or_grasslike,source_index_only,,,matched,SPAM,,https://weedid.cals.vt.edu/profile/43/
VT-273,American burnweed,Erechtites hieracifolia,broadleaf,source_index_only,,,matched,ERHI12,agronomic_crops; pasture_forage,https://weedid.cals.vt.edu/profile/273/
VT-35,American cancer-root,Conopholis americana,unclassified,source_index_only,,,matched,COAM,,https://weedid.cals.vt.edu/profile/35/
VT-804,American climacium moss,Climacium americanum,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/804/
VT-423,American climbing fern,Lygodium palmatum,broadleaf,source_index_only,,,matched,LYPA3,,https://weedid.cals.vt.edu/profile/423/
VT-485,American false pennyroyal,Hedeoma pulegioides,broadleaf,source_index_only,,,matched,HEPU,,https://weedid.cals.vt.edu/profile/485/
VT-36,American hazelnut,Corylus americana,broadleaf,source_index_only,,,matched,COAM3,,https://weedid.cals.vt.edu/profile/36/
VT-40,American plum,Prunus americana,broadleaf,source_index_only,,,matched,PRAM,,https://weedid.cals.vt.edu/profile/40/
VT-39,American pokeweed,Phytolacca americana,broadleaf,source_index_only,,,matched,PHAM4,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/39/
VT-42,American speedwell,Veronica americana,broadleaf,source_index_only,,,matched,VEAM2,,https://weedid.cals.vt.edu/profile/42/
VT-395,American sycamore,Platanus occidentalis,broadleaf,source_index_only,,,matched,PLOC,,https://weedid.cals.vt.edu/profile/395/
VT-38,American water-willow,Justicia americana,broadleaf,source_index_only,,,matched,JUAM,aquatic_wetland,https://weedid.cals.vt.edu/profile/38/
VT-398,American white waterlily,Nymphaea odorata,broadleaf,source_index_only,,,matched,NYOD,aquatic_wetland,https://weedid.cals.vt.edu/profile/398/
VT-331,Amur honeysuckle,Lonicera maackii,broadleaf,source_index_only,,Tier 3,matched,LOMA6,,https://weedid.cals.vt.edu/profile/331/
VT-54,annual bluegrass,Poa annua,grass_or_grasslike,crop_context_sourced,small_grains,,matched,POAN,,https://weedid.cals.vt.edu/profile/54/
VT-413,annual sowthistle,Sonchus oleraceus,broadleaf,source_index_only,,,matched,SOOL,,https://weedid.cals.vt.edu/profile/413/
VT-519,annual trampweed,Facelis retusa,broadleaf,source_index_only,,,matched,FARE,,https://weedid.cals.vt.edu/profile/519/
VT-525,anomodon moss,Anomodon rostratus,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/525/
